Year,State,Metadata
2013,Rhode Island,"Zero Emission Vehicle (ZEV) Deployment Support, Rhode Island joined California, Connecticut, Maine, Maryland,
Massachusetts, New Jersey, New York, Oregon, and Vermont in signing a
[memorandum of
understanding](https://www.nescaum.org/documents/zev-mou-10-governors-signed-20191120.pdf/)
(MOU) to support the deployment of ZEVs through involvement in a ZEV
Program Implementation Task Force (Task Force). In May 2014, the Task
Force published a [ZEV Action
Plan](https://www.nescaum.org/documents/multi-state-zev-action-plan.pdf)
(Plan) identifying 11 priority actions to accomplish the goals of the
MOU, including deploying at least 3.3 million ZEVs and adequate fueling
infrastructure within the signatory states by 2025. The Plan also
includes a research agenda to inform future actions. On an annual basis,
each state must report on the number of registered ZEVs, the number of
public electric vehicle supply equipment (EVSE) and hydrogen fueling
stations, and available information regarding workplace fueling for
ZEVs.

In June 2018, the Task Force published a new [ZEV Action
Plan](https://www.nescaum.org/documents/2018-zev-action-plan.pdf) for
2018-2021. Building on the 2014 Action Plan, the 2018 Action Plan makes
recommendations for states and other key partners in five priority
areas:

-   Raising consumer awareness and interest in electric vehicle
    technology;
-   Building out a reliable and convenient residential, workplace and
    public charging/fueling infrastructure network;
-   Continuing and improving access to consumer purchase and
    non-financial incentives;
-   Expanding public and private sector fleet adoption; and
-   Supporting dealership efforts to increase ZEV sales.

For more information, see the [Multi State ZEV Task
Force](https://www.nescaum.org/our-work/clean-transportation/adoption-of-electric-cars)
website.
, Laws and Regulations, 33.0, ELEC|HY|PHEV, AIRQEMISSIONS, OTHER, amended"
2013,Ohio,"Natural Gas Vehicle (NGV) and Electric Vehicle (EV) Weight Exemption, NGVs and EVs may exceed the gross vehicle weight restrictions by 2,000
pounds, except on the interstate system or a highway, road, or bridge
that is subject to maximum weight restrictions.

(Reference [Ohio Revised Code 5577.044](http://codes.ohio.gov/orc/)), State Incentives, 32.0, ELEC|NG, EXEM, FLEET|GOV|IND, https://ohiohouse.gov/|http://codes.ohio.gov/orc/|https://ohiohouse.gov/, amended"
2013,Ohio,"Natural Gas Measurement, Compressed natural gas (CNG) and liquefied natural gas (LNG) used for
transportation must be measured in gasoline gallon equivalents (GGE) or
diesel gallon equivalents (DGE). One DGE of LNG is the equivalent of one
gallon of motor fuel. One GGE of CNG is equal to 139.31 cubic feet or
6.38 pounds.

(Reference [Ohio Revised Code 5735.011](https://www.legislature.ohio.gov/)), Laws and Regulations, 70.0, NG, FUEL, STATION|AFP|PURCH|FLEET|GOV|IND, https://www.legislature.ohio.gov/|https://www.legislature.ohio.gov/|https://www.legislature.ohio.gov/|https://www.legislature.ohio.gov/, amended"
2011,Pennsylvania,"Aftermarket Alternative Fuel Vehicle (AFV) Conversion Requirements, Conventional original equipment manufacturer passenger vehicles and
light-duty trucks may be converted to operate on alternative fuels as a
dedicated or bi-fuel AFV. Vehicles altered to operate on propane,
natural gas, methane, ethanol, or electricity are classified as
aftermarket AFV conversions. All vehicle conversions must meet current
applicable U.S. Environmental Protection Agency or California Air
Resources Board standards for aftermarket conversions.

(Reference [Pennsylvania Department of Environmental Protection Policy on Clean Alternative Fuel Conversion Systems 270-0810-007](https://www.dep.pa.gov/Business/Air/BAQ/Automobiles/Documents/PCV%20Conversion%20Policy%20Final%20Revised.pdf)), Laws and Regulations, 60.0, AFTMKTCONV, AIRQEMISSIONS, MAN|FLEET|GOV|IND, https://www.dep.pa.gov/Business/Air/BAQ/Automobiles/Documents/PCV%20Conversion%20Policy%20Final%20Revised.pdf, enacted"
2014,Rhode Island,"Electric Drive Vehicle License Plates, The Rhode Island Division of Motor Vehicles (DMV) may issue special
vehicle license plates to owners of electric drive vehicles, including
those powered in whole or in part by a storage battery. Eligible
vehicles include hybrid electric, plug-in hybrid electric, and
all-electric vehicles registered as electric drive vehicles in the
state. For more information, including license plate fee, see the Rhode
Island DMV [Other
Plates](https://dmv.ri.gov/registrations-plates-titles/license-plates/other-plates)
website.

(Reference [Rhode Island General Laws 31-3-101](http://webserver.rilin.state.ri.us/Statutes/)), Laws and Regulations, 17.0, ELEC|HEV|PHEV, REGIS, FLEET|IND, http://webserver.rilin.state.ri.us/Statutes/, enacted"
2014,Rhode Island,"State Agency Coordination to Address Climate Change, The Rhode Island Executive Climate Change Coordinating Council (EC4) was
established to coordinate efforts between state agencies to reduce
greenhouse gas (GHG) emissions. The EC4 will pursue GHG emissions
reductions of 10% below 1990 levels by 2020, 45% below 1990 levels by
2035, and 80% below 1990 levels by 2050. State agencies must assist EC4
to develop programs to encourage state employees to reduce vehicle miles
traveled and use public transportation when available. The Council will
also work with municipalities to encourage sustainability; identify
federal, state, and private funding opportunities that can be leveraged
to reduce emissions in Rhode Island; and develop GHG emissions reduction
strategies. The Council submitted a
[plan](http://climatechange.ri.gov/documents/riggerr16.pdf) in December
2016 with suggested strategies for GHG emissions reduction activities to
the governor. The EC4 and the State Chief Resiliency Officer submitted a
statewide [Action Plan to Stand Up to Climate
Change](http://climatechange.ri.gov/resiliency/) and to the governor in
July 2018.

(Reference [Rhode Island General Laws 42-6.2](http://webserver.rilin.state.ri.us/Statutes/) and [Executive Order(PDF) 17-10, 2017](http://www.governor.ri.gov/documents/orders/ExecOrder-17-10-09152017.pdf)), Laws and Regulations, 31.0, AFTMKTCONV|BIOD|ETH|ELEC|EFFEC|HEV|HY|IR|NG|NEVS|OTHER|PHEV|LPG, AIRQEMISSIONS|CCEINIT, GOV, http://webserver.rilin.state.ri.us/legislation/|http://webserver.rilin.state.ri.us/Statutes/|http://www.governor.ri.gov/documents/orders/ExecOrder-17-10-09152017.pdf, enacted"
2014,Pennsylvania,"Neighborhood Electric Vehicle (NEV) Definition, A NEV is defined as a four-wheeled electric vehicle that has a maximum
speed greater than 20 miles per hour (mph) but not more than 25 mph. All
vehicles must comply with the safety standards established in Title 49
of the [U.S. Code of Federal
Regulations](https://www.govinfo.gov/app/collection/cfr), section
571.500. Drivers must maintain a defined level of insurance coverage for
all registered vehicles.

(Reference [Title 75 Pennsylvania Statutes Part I, Chapter 1, Section 102 and Part II, Chapter 17, Subchapter H, Section 1788](http://government.westlaw.com/linkedslice/default.asp?SP=pac-1000)), Laws and Regulations, 75.0, ELEC, DREST, IND, http://www.legis.state.pa.us/|http://government.westlaw.com/linkedslice/default.asp?SP=pac-1000, enacted"
1993,Rhode Island,"Electric Vehicle Emissions Inspection Exemption, Vehicles powered exclusively by electricity are exempt from state
emissions control inspections. For more information, see the [Rhode
Island Emissions and Safety Testing
Program](https://www.riinspection.org/Pages/Content.aspx?ID=1#:~:text=Electric%20vehicles%20are%20exempted%20from,inspection%20for%20safety%20and%20emissions.)
website.

(Reference [Rhode Island General Laws 31-47.1-5](http://webserver.rilin.state.ri.us/Statutes)), State Incentives, 7.0, ELEC, EXEM, FLEET|GOV|IND, http://webserver.rilin.state.ri.us/Statutes, enacted"
1996,Ohio,"Alternative Fuel Vehicle (AFV) Emissions Inspection Exemption, Vehicles powered exclusively by electricity, propane, or natural gas are
exempt from state motor vehicle emissions inspections after a one-time
verification inspection. For more information, see the Ohio
Environmental Protection Agency [E-Check](http://www.ohioecheck.info/)
website.

(Reference [Ohio Administrative Code 3745-26-1 and 3745-26-12](https://epa.ohio.gov/divisions-and-offices/air-pollution-control/e-check/01-waivers-extensions-and-exemptions)), State Incentives, 32.0, ELEC|NG|LPG, EXEM, FLEET|GOV|IND, https://epa.ohio.gov/divisions-and-offices/air-pollution-control/e-check/01-waivers-extensions-and-exemptions, enacted"
2013,Tennessee,"Idle Reduction Weight Exemption, Any motor vehicle equipped with qualified idle reduction technology or
other emissions reduction technology may exceed the state gross or axle
weight limits, by 550 pounds or the maximum amount allowed by federal
law, whichever is greater, to account for the weight of the technology.
The additional weight may not exceed the weight of the idle reduction
unit. The vehicle operator must also be able to demonstrate that the
technology is fully functional.

(Reference [Tennessee Code 55-7-203](https://www.tncourts.gov/Tennessee%20Code)), State Incentives, 15.0, IR, EXEM, FLEET|GOV|IND, https://www.tncourts.gov/Tennessee%20Code, enacted"
2015,Tennessee,"Natural Gas Measurement, Compressed natural gas (CNG) and liquefied natural gas (LNG) used for
transportation must be sold in gasoline gallon equivalents (GGE) or
diesel gallon equivalents (DGE) prescribed by the state, unless
equivalent measures are established by the National Conference on
Weights and Measures. According to current state law, one GGE is equal
to 5.66 pounds (lbs.) of CNG. One DGE is equal to 6.06 lbs. of LNG.

(Reference [Tennessee Code 47-26-914](https://www.tncourts.gov/Tennessee%20Code)), Laws and Regulations, 30.0, NG, FUEL, STATION, https://www.tncourts.gov/Tennessee%20Code, enacted"
2015,Oklahoma,"Compressed Natural Gas (CNG) Vehicle Loan Program Development, The Oklahoma Cooperative Circuit Engineering Districts Board must
develop and adopt rules and processes for a no-interest loan program to
allow qualified county governments to purchase or convert CNG vehicles.
Counties that borrow funds must sell to a nongovernmental entity or
properly dispose of a comparable number of conventional vehicles. Loan
terms will be up to five years.

(Reference [Oklahoma Statutes 69-687.3C](http://www.oklegislature.gov)), Laws and Regulations, 70.0, NG, OTHER, GOV, http://www.oklegislature.gov, enacted"
2015,Oklahoma,"Natural Gas Measurement, The Oklahoma Department of Labor (DOL) must standardize compressed
natural gas (CNG) and liquefied natural gas (LNG) measurements for
retail motor vehicle fuel, unless the National Conference on Weights and
Measures has established equivalent measures. Until the DOL standardizes
measurements, a gasoline gallon equivalent is equal to 5.66 pounds
(lbs.) of CNG and a diesel gallon equivalent is equal to 6.06 lbs. of
LNG.

(Reference [Oklahoma Statutes 83-119](http://www.oklegislature.gov)), Laws and Regulations, 71.0, NG, FUEL, STATION, http://www.oklegislature.gov, enacted"
2015,Oregon,"Alternative Fuel Vehicle (AFV) Parking Space Regulation, An individual is not allowed to park a motor vehicle within any parking
space specifically designated for public parking and fueling of AFVs
unless the motor vehicle is an AFV. Eligible AFVs must also be in the
process of fueling or charging to park in the space. A person found
responsible for a violation is subject to traffic violation penalties.

(Reference [Oregon Revised Statutes 811.587](https://www.oregonlegislature.gov/)), Laws and Regulations, 63.0, ETH|ELEC|NG|OTHER|PHEV|LPG, OTHER, IND, https://www.oregonlegislature.gov/bills_laws/Pages/Oregon-Laws.aspx|https://www.oregonlegislature.gov/, enacted"
2015,Rhode Island,"Zero Emission Vehicle (ZEV) and Plug-In Hybrid Electric Vehicle (PHEV) Rebates, The Driving Rhode Island to Vehicle Electrification (DRIVE EV) rebate
program offers rebates for the purchase or lease of ZEVs and PHEVs.
Rebate amounts vary based on vehicle type:

  Vehicle Technology   Maximum Rebate Amount
  -------------------- ------------------------------------------------------------
  ZEV                  \$1,500 for a new vehicle; \$1,000 for a pre-owned vehicle
  PHEV                 \$1,000 for a new vehicle; \$750 for a pre-owned vehicle

ZEVs include all-electric vehicles and hydrogen fuel cell electric
vehicles. New vehicles may not have a purchase price above \$60,000, and
pre-owned vehicles may not have a purchase price above \$40,000. All
eligible vehicles must be purchased on or after July 7, 2022. An
additional rebate of up to \$1,500 is available to applicants that
participate in a state or federal income-qualified program. Rebates are
awarded on a first-come, first-served basis. For more information,
including a list of income-qualified programs, see the [DRIVE
EV](https://drive.ri.gov/ev-programs/drive-ev) and [DRIVE
EV+](https://drive.ri.gov/ev-programs/drive-plus) websites.
, State Incentives, 4.0, ELEC|HY|PHEV, RBATE, IND, enacted"
2016,Oregon,"Transportation Electrification Acceleration Programs, The Oregon Public Utility Commission must direct electric utilities to
file applications for programs to accelerate transportation
electrification. Eligible programs include investments in or customer
rebates for electric vehicle (EV) chargers. Among other criteria,
programs must stimulate innovation, competition, and customer choice in
EV chargers and EV charging.

Additionally, the Oregon Department of Energy (ODOE) must engage with
publicly and investor-owned utilities on how to improve transportation
electrification plans and increase EV adoption in their service
territories. ODOE must also provide the utilities with technical
assistance on how to accommodate increased electric system loads from
EVs.

(Reference [Executive Order 17-21, 2017](http://www.oregon.gov/gov/admin/pages/executive-orders.aspx) and [Oregon Revised Statues 757.357](https://www.oregonlegislature.gov/)), Laws and Regulations, 59.0, ELEC|PHEV, OTHER, STATION|AFP, https://www.oregonlegislature.gov/bills_laws/Pages/Oregon-Laws.aspx|http://www.oregon.gov/gov/admin/pages/executive-orders.aspx|https://www.oregonlegislature.gov/, amended"
2009,Oklahoma,"Alternative Fuel Vehicle and Idle Reduction Weight Exemption, A vehicle powered in whole or part by natural gas, electricity, or
hydrogen may exceed the state's gross and axle weight limits by up to
2,000 pounds (lbs.), equal to the difference between the weight of the
vehicle with the natural gas tank, battery, or hydrogen fueling system
and the weight of a comparable diesel tank and fueling system. The
exemption is allowed on all state roads and interstate highways, as
defined in Title 23 of the [U.S. Code](https://www.govinfo.gov/) section
127(s).

Any vehicle equipped with idle reduction technology may exceed the
state's gross vehicle weight limits by up to 400 lbs. to compensate for
the additional weight of the idle reduction technology. The additional
weight may not exceed the actual certified weight of the idle reduction
unit. Upon request, vehicle operators must provide proof or
certification of the weight of the idle reduction technology and proof
that the idle reduction technology is fully functional.

(Reference [Oklahoma Statutes 47-14-109, 47-14-109.3, and 47-14-109.4](http://www.oklegislature.gov/)), State Incentives, 8.0, ELEC|HY|IR|NG|PHEV, EXEM, FLEET|GOV|IND, http://www.oklegislature.gov/|http://www.oklegislature.gov/, amended"
2016,Oklahoma,"Committee of Alternative Fuels Technician Examiners, The Committee of Alternative Fuels Technician Examiners (Committee) was
established to assist the Commissioner of Labor on matters relating to
the formulation of rules and standards to comply with the Alternative
Fuels Technician Certification Act. The Committee includes experts in
the natural gas, propane, and electric vehicle industries.

(Reference [Oklahoma Statutes 40-142.6](http://www.oklegislature.gov/index.aspx)), Laws and Regulations, 120.0, AFTMKTCONV|BIOD|ETH|ELEC|HEV|HY|NG|OTHER|PHEV|LPG, OTHER, OTHER, http://www.oklegislature.gov/index.aspx, enacted"
2016,Oklahoma,"Alternative Fuels Technician Certificates, The Department of Labor (DOL) will issue a certificate to any person who
has successfully passed the appropriate alternative fuels equipment,
alternative fuels compression, or electric vehicle technician
examination as provided in the Alternative Fuels Technician
Certification Act. A certification fee applies. For companies,
partnerships, or corporations involved in the business of installing,
servicing, repairing, modifying, or renovating equipment used in
converting or modifying engines or fueling equipment to be used with
alternative fuels, DOL will issue a separate certificate. Alternative
fuels include propane, natural gas, methanol, ethanol, electricity,
hydrogen, biodiesel, and more.

DOL can issue an alternative fuels trainee certificate to any person who
submits a trainee application within 15 business days of being hired by
a licensed alternative fuels conversion or fueling station installation
company.
, Laws and Regulations, 130.0, AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|OTHER|PHEV|LPG, OTHER, MAN|OTHER, http://www.oklegislature.gov|http://www.oklegislature.gov, enacted"
2016,Rhode Island,"Clean Diesel Grant , The Rhode Island Clean Diesel Fund provides fleet operators, businesses,
local and state government entities, schools districts, and other
qualifying entities with reimbursement grants to reduce emissions from
medium- and heavy-duty diesel vehicles. Eligible projects include
on-road, non-road, and marine vehicle, engine, and equipment
replacements. Eligible technology includes new diesel, alternative fuel,
and zero emission vehicles. Eligible on-road vehicles must be registered
and domiciled in Rhode Island, and 50% of the vehicle miles travelled or
hours of operation must be in Rhode Island for at least five years after
receiving the grant. For more information, including additional
eligibility requirements, see the Rhode Island Department of
Environmental Management [Diesel Emissions Reduction
Act](https://dem.ri.gov/environmental-protection-bureau/air-resources/mobile-sources/diesel-emissions-reduction-act-dera)
website.

(Reference [Rhode Island General Laws 31-47.3-5.1](http://webserver.rilin.state.ri.us/Statutes/)), State Incentives, 3.0, ETH|ELEC|HY|NG, GNT, FLEET|GOV|OTHER|TRANS, http://status.rilin.state.ri.us/|http://webserver.rilin.state.ri.us/Statutes/, enacted"
,Tennessee,"Alternative Fuel Tax, Compressed natural gas (CNG) and liquefied gas used for operating motor
vehicles on public highways are subject to excise tax of \$0.21 and
\$0.22, respectively, imposed on a per gallon basis. For the purposes of
this tax, the Tennessee Department of Revenue uses a CNG gallon
equivalent factor of 5.66 pounds (lbs.) and a liquefied gas gallon
equivalent factor of 6.06 lbs. Liquefied gas includes combustible gas
that exists in the gaseous state at 60 degrees Fahrenheit and at a
pressure of 14.7 lbs. per square inch, but does not include gasoline,
diesel fuel, or CNG. Government agencies are exempt from this tax.

(Reference [Tennessee Code 67-3-1101 to 67-3-1102 and 67-3-1113](https://www.tncourts.gov/Tennessee%20Code)), Laws and Regulations, 28.0, NG, FUEL, FLEET|IND, https://www.tncourts.gov/Tennessee%20Code|http://wapp.capitol.tn.gov/apps/billsearch/BillSearchAdvanced.aspx, amended"
2017,Tennessee,"Electric Vehicle (EV) Fee, In addition to standard registration fees, EV owners must pay an annual
fee of \$100. Annual EV registration fees increase according to the
following schedule:

  Years            Annual EV Fee
  ---------------- --------------------------------------
  2024 to 2026     \$200
  2027             \$274
  2028 and later   \$274, adjusted for annual inflation

In addition to standard registration fees, hybrid electric vehicle (HEV)
and plug-in hybrid electric vehicle (PHEV) owners will be subject to the
following annual fees:

  Years            Annual HEV and PHEV Fee
  ---------------- --------------------------------------
  2024 to 2028     \$100
  2028 and later   \$100, adjusted for annual inflation

Low-speed and medium-speed vehicles are exempt from the fee.

(Reference [Tennessee Code 55-4-116](https://www.tncourts.gov/Tennessee%20Code)), Laws and Regulations, 27.0, ELEC, EVFEE|FUEL, FLEET|IND, http://wapp.capitol.tn.gov/apps/billsearch/BillSearchAdvanced.aspx|https://www.capitol.tn.gov/legislation/|https://www.tncourts.gov/Tennessee%20Code, enacted"
2017,Oregon,"Electric Vehicle (EV) and Vehicle Efficiency Fees, All-electric vehicle owners must pay an annual fee of \$115 or a
per-mile road use fee of \$0.02 per mile through the OReGo program.
Hybrid electric vehicles and plug-in hybrid electric vehicles must pay
an annual fee in the following amounts:

::: {data-align=""center""}
  Vehicle Efficiency                                       Annual Fee
  ------------------------------------------------------- ------------
  Vehicles with a rating of 0-19 miles per gallon (mpg)       \$20
  Vehicles with a rating of 20-39 mpg                         \$25
  Vehicles with a rating of 40 mpg or greater                 \$35
:::

These fees are in addition to standard registration fees. Drivers with
EVs or vehicles with ratings over 40 mpg are exempt from additional
registration fees if they enroll in the OReGo program. For more
information, including how to apply, visit the [OReGo
program](http://www.myorego.org/) website.

(Reference [Oregon Revised Statutes 803.420-803.422](https://www.oregonlegislature.gov/)), Laws and Regulations, 51.0, BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG, EVFEE|FUEL, FLEET|IND, https://www.oregonlegislature.gov/, enacted"
2017,Oregon,"Clean School Bus Grants, The Oregon Department of Environmental Quality must use funds awarded to
Oregon through the [Volkswagen (VW) Environmental Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement)
and deposited in the Clean Diesel Engine Fund, to award grants to owners
and operators of at least 450 school buses powered by diesel engines.
Eligible vehicles include buses that have at least three years of
remaining useful life. Grants will be available for 30%, up to \$50,000,
for the purchase of a new bus or up to 100% of the cost to retrofit a
school bus with emissions-reducing parts or technology that reduce
diesel particulate matter emissions by at least 85%. Any money not
expended under this Clean Diesel Engine Fund will fund grants for the
reduction of diesel engine emissions as matching funds under the Diesel
Emissions Reduction Act program. For more information, see the [VW
Settlement](https://www.oregon.gov/deq/aq/programs/Pages/VW-Diesel-Settlement.aspx)
website.

(Reference [Oregon Revised Statutes 468A.795-468A.807](https://www.oregonlegislature.gov/)), State Incentives, 12.0, AFTMKTCONV|BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG, GNT, FLEET|GOV, https://www.oregonlegislature.gov/|https://www.oregonlegislature.gov/, enacted"
2017,Rhode Island,"Electric Vehicle (EV) Charging Parking Restriction, No person can stop, stand, or park a vehicle in a parking space where
there is an EV charger and signage indicating that parking is for EV
charging only, unless the vehicle is connected to the charging
equipment. Violations will be subject to a fine of \$85.

(Reference [Rhode Island General Laws 31-21-18](http://webserver.rilin.state.ri.us/Statutes/) and [Rhode Island General Laws 31-41.1-4](http://webserver.rilin.state.ri.us/Statutes/)), Laws and Regulations, 14.0, ELEC|PHEV, DREST, STATION|IND, http://webserver.rilin.state.ri.us/Statutes/|http://webserver.rilin.state.ri.us/Statutes/|http://webserver.rilin.state.ri.us/Statutes/, enacted"
2017,Oregon,"Electric Vehicle (EV) Charger Policies for Rental Properties, The owner of a lot in a planned community or unit in a condominium may
apply to install EV chargers for their personal use in a parking space
subject to the exclusive use of the owner. The homeowners association
(HOA) must approve a complete application within 60 days. The owner is
responsible for all costs associated with the EV charger installation
and use, must disclose the existence of the EV charger and related
responsibilities to a prospective buyer, and must ensure that the
infrastructure meets insurance and safety requirements. EV chargers
installed under these regulations are considered to be the personal
property of the lot or unit owner with which the EV charger is
associated, unless the owner and HOA have negotiated a different
outcome. Additional requirements and restrictions apply.

(Reference [Oregon Revised Statutes 90.462](https://www.oregonlegislature.gov/)), Laws and Regulations, 61.0, ELEC|PHEV, RTC, MUD|IND, https://www.oregonlegislature.gov/, enacted"
2017,Oregon,"Electric Vehicle (EV) Adoption Support, To support the state goal of at least 50,000 EVs registered and
operating in Oregon by 2020, the Zero-Emission Vehicle Working Group
(Working Group) will develop goals and progress metrics for EV adoption.
The Working Group will include representatives from the Departments of
Administrative Services, Energy, Transportation, and Environmental
Quality, and the Oregon Public Utility Commission. The Working Group
will aim to remove barriers to EVs and EV chargers and share information
about their efforts with the public. For more information, see the ODOT
[Zero Emission Vehicle Working
Group](https://www.oregon.gov/energy/Get-Involved/Pages/ZEVIWG.aspx#:~:text=%E2%80%8B%E2%80%8BThe%20Zero%2DEmission,by%20the%20end%20of%202020.)
and [Go Electric Oregon](https://goelectric.oregon.gov/) websites.

(Reference [Executive Order 17-21, 2017](http://www.oregon.gov/gov/admin/pages/executive-orders.aspx)), Laws and Regulations, 43.0, ELEC|PHEV, AIRQEMISSIONS|OTHER, OTHER, http://www.oregon.gov/gov/admin/pages/executive-orders.aspx, archived"
2017,Oregon,"Volkswagen (VW) Settlement Allocation, The Department Environmental Quality (DEQ), with the Oregon Department
of Transportation (ODOT), Oregon Department of Energy (ODOE), and Oregon
Health Authority Public Health Division, engaged stakeholders and
received public comments to inform the development of a plan to leverage
up to 15% of the [VW Environmental Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement)
to support vehicle electrification. The
[plan](https://www.oregon.gov/deq/FilterDocs/VWenviroMitPlanFS.pdf)
includes the development and maintenance of electric vehicle chargers,
with a focus on rural and low-income communities.

ODOT, with ODOE, DEQ, the Public Utility Commission, and local
governments, must develop proposals for future 30-month investment
periods of Electrify America's Zero-Emission Vehicle Investment Plan.
More information can be found on the [Go Electric
Oregon](https://goelectric.oregon.gov/) website.

(Reference [Executive Order 17-21, 2017](http://www.oregon.gov/gov/admin/pages/executive-orders.aspx)), Laws and Regulations, 44.0, ELEC|PHEV, AIRQEMISSIONS, OTHER, http://www.oregon.gov/gov/admin/pages/executive-orders.aspx, enacted"
2017,Oregon,"Electric Vehicle (EV) Charger Building Standards for New Construction, Twenty percent of parking spaces at all newly constructed commercial
buildings, multifamily residences with five or more units, and mixed-use
developments must have the electrical capacity to support Level 2 EV
chargers. New residential construction must be able to support the
installation of one Level 2 EV chargers.

(Reference [Oregon Revised Statutes 455.417](https://www.oregonlegislature.gov/)), Laws and Regulations, 45.0, ELEC|PHEV, BUILD|OTHER, MUD|OTHER, http://www.oregon.gov/gov/admin/pages/executive-orders.aspx|https://www.oregonlegislature.gov/|https://www.oregonlegislature.gov/|https://www.oregonlegislature.gov/, amended"
2017,Oregon,"Establishment of Recognition Programs for Electric Vehicle (EV) Adoption, The Oregon Department of Energy (ODOE) must provide Governor's Awards
for automobile dealerships to encourage sales of EVs. ODOE must also
provide Governor's Awards for businesses and organizations that support
EV adoption through installing charging infrastructure and using EVs in
their fleets. More information, including nomination forms, can be found
on the [Go Electric Oregon](https://goelectric.oregon.gov/) website.

(Reference [Executive Order 17-21, 2017](http://www.oregon.gov/gov/admin/pages/executive-orders.aspx)), Laws and Regulations, 49.0, ELEC|PHEV, OTHER, OTHER, http://www.oregon.gov/gov/admin/pages/executive-orders.aspx, enacted"
2017,Oregon,"Zero-Emission Buses Support, The Oregon Department of Energy (ODOE), with the Oregon Department of
Transportation (ODOT), Public Utility Commission (PUC), Department of
Environmental Quality (DEQ), and the Department of Education, was
directed to develop tools and provide assistance for school districts
considering zero-emission bus options when replacing school buses.

ODOT, with ODOE, PUC, and DEQ, developed tools and best practices to
help transit agencies when making decisions about using zero-emission
buses in transit fleets. ODOT also worked with transit agencies, ODOE,
DEQ, and the Oregon Health Authority Public Health Division to access
the environmental, public health, and financial benefits of an
accelerated transition to zero-emission buses. For more information, see
ODOE's [Guide to School Bus
Electrification](https://www.oregon.gov/energy/energy-oregon/Documents/2022-Jan-14-School-Bus-Electrification-Guidebook.pdf)
and the ODOT [Transit Fleet
Electrification](https://www.oregon.gov/odot/rptd/pages/electrification.aspx)
website.

(Reference [Executive Order 17-21, 2017](https://www.oregon.gov/gov/Pages/executive-orders.aspx)), Laws and Regulations, 46.0, ELEC, AIRQEMISSIONS, OTHER, https://www.oregon.gov/gov/Pages/executive-orders.aspx, enacted"
2018,Tennessee,"Methanol Tax Exemption, Methanol sold for use as a motor fuel that is not blended with gasoline,
diesel, other fuels, or petroleum products is exempt from gasoline and
diesel fuel use taxes.

(Reference [Tennessee Code 67-3-419](https://www.tncourts.gov/Tennessee%20Code)), State Incentives, 12.0, OTHER, EXEM, STATION, http://wapp.capitol.tn.gov/apps/billsearch/BillSearchAdvanced.aspx|https://www.tncourts.gov/Tennessee%20Code, enacted"
2017,Tennessee,"Autonomous Vehicle (AV) Operation Authorization, AVs may operate on public roads without a driver present in the vehicle
if the AV meets the following requirements:

-   It complies with all applicable Federal Motor Vehicle Safety
    Standards;
-   It is capable of reaching a reasonably safe state in the event that
    the automated driving system fails; and
-   It is registered in the state as an AV that can operate without any
    supervision by a driver

An AV is defined as any vehicle that is equipped with a technology that
has the capability to operate the vehicle without the direct control of
the driver.

(Reference [Tennessee Code 55-8-202](https://www.tncourts.gov/Tennessee%20Code)), Laws and Regulations, 29.0, AUTONOMOUS, DREST, OTHER, http://wapp.capitol.tn.gov/apps/billsearch/BillSearchAdvanced.aspx|https://www.tncourts.gov/Tennessee%20Code, enacted"
2017,Tennessee,"Ethanol Blend Specifications, Ethanol-blended gasoline sold in the state must meet
[ASTM](https://www.astm.org/Standard/index.html) Standard D4814.

(Reference [Tennessee Code 47-18-1304](https://www.tncourts.gov/Tennessee%20Code)), Laws and Regulations, 43.0, ETH, STD, STATION, http://wapp.capitol.tn.gov/apps/billsearch/BillSearchAdvanced.aspx|https://www.tncourts.gov/Tennessee%20Code, enacted"
,Pennsylvania,"Medium- and Heavy-Duty Vehicle Rebates, The Pennsylvania Department of Environmental Protection (DEP) offers
rebates for the replacement or repower of Class 4-8 local freight trucks
and port drayage trucks, school buses, transit buses, and shuttle buses
with new diesel, electric, or alternative fuel vehicles or technologies.
Vehicles or engines being replaced or repowered must be scrapped in
accordance with program guidelines. Two funding options are available
based on fleet size. DEP must approve all project applications and will
process rebates on a first-come, first-served basis. This rebate program
is funded by Pennsylvania's portion of the [Volkswagen Environmental
Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement).
For more information, including program guidelines, grant amounts, and
application periods, see the [Driving Pennsylvania
Forward](http://www.depgis.state.pa.us/DrivingPAForward/) website.
, State Incentives, 4.0, AFTMKTCONV|EFFEC, RBATE, FLEET|GOV"
